                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                0.83762,                 0.6416,                0.94095,                0.95132,                0.97905,                0.97653,                0.70673,                 1.0359,                 0.6397,                 1.0409,               0.004159,               0.004159,               0.004159
                    120,                0.83037,                0.64675,                0.92516,                0.95821,                0.97291,                0.97755,                0.71611,                0.98892,                0.63765,                 1.0137,              0.0041095,              0.0041095,              0.0041095
                    121,                0.82615,                0.64629,                0.92391,                0.95783,                0.96825,                0.97555,                0.69957,                 1.0516,                 0.6486,                 1.0353,                0.00406,                0.00406,                0.00406
                    122,                0.83513,                0.64752,                0.93281,                0.95591,                0.98496,                0.97341,                0.70861,                 1.0111,                 0.6326,                 1.0208,              0.0040105,              0.0040105,              0.0040105
                    123,                0.83515,                0.65963,                0.92989,                0.95853,                0.97511,                 0.9743,                0.70535,                 1.0372,                0.62147,                 1.0366,               0.003961,               0.003961,               0.003961
                    124,                0.81201,                0.62177,                0.91049,                 0.9568,                0.98467,                0.97656,                 0.7115,                 1.0138,                0.61431,                  1.036,              0.0039115,              0.0039115,              0.0039115
                    125,                0.75859,                0.62125,                0.91774,                0.96172,                0.97978,                0.97742,                0.70791,                 1.0281,                0.62259,                 1.0378,               0.003862,               0.003862,               0.003862
                    126,                0.76864,                0.61966,                  0.944,                0.96427,                0.98431,                0.97863,                  0.695,                 1.0752,                0.63629,                 1.0668,              0.0038125,              0.0038125,              0.0038125
                    127,                0.78837,                0.61107,                 0.9079,                 0.9665,                0.98318,                0.98063,                0.71526,                 1.0178,                0.62534,                 1.0247,               0.003763,               0.003763,               0.003763
                    128,                0.81666,                0.62954,                0.92823,                0.96312,                0.98334,                0.97715,                0.70756,                  1.008,                0.61873,                  1.024,              0.0037135,              0.0037135,              0.0037135
                    129,                0.78442,                 0.6261,                0.90711,                0.96674,                 0.9828,                 0.9788,                0.71382,                 1.0209,                0.61764,                 1.0363,               0.003664,               0.003664,               0.003664
                    130,                0.77368,                0.58522,                0.90646,                0.96479,                0.97592,                0.97818,                0.70893,                 1.0328,                0.62999,                 1.0379,              0.0036145,              0.0036145,              0.0036145
                    131,                0.79603,                0.65395,                0.95243,                0.96285,                0.97698,                0.98006,                0.71875,                 1.0235,                0.62088,                 1.0387,               0.003565,               0.003565,               0.003565
                    132,                0.79923,                0.61991,                0.91825,                0.95889,                0.98351,                0.98266,                0.70532,                 1.0346,                0.62014,                 1.0351,              0.0035155,              0.0035155,              0.0035155
                    133,                0.81285,                0.62752,                0.91331,                0.96225,                0.97538,                0.98085,                0.71359,                 1.0048,                0.62231,                 1.0214,               0.003466,               0.003466,               0.003466
                    134,                 0.7737,                0.62155,                0.91656,                0.95043,                0.97929,                0.98086,                0.71841,                 1.0111,                0.62667,                 1.0213,              0.0034165,              0.0034165,              0.0034165
                    135,                0.82568,                0.63744,                0.93281,                0.96337,                0.96574,                0.98057,                0.71974,                 1.0186,                0.61233,                 1.0346,               0.003367,               0.003367,               0.003367
                    136,                0.74885,                0.59421,                0.92076,                0.95285,                0.98352,                0.98145,                0.71455,                 1.0093,                 0.5902,                 1.0298,              0.0033175,              0.0033175,              0.0033175
                    137,                0.72104,                0.59547,                0.90693,                0.95874,                0.97892,                0.97982,                0.72475,                0.99025,                0.59448,                 1.0161,               0.003268,               0.003268,               0.003268
                    138,                0.77163,                0.62668,                0.90472,                0.96584,                0.98688,                0.98251,                0.72887,                 0.9717,                0.57896,                 1.0156,              0.0032185,              0.0032185,              0.0032185
                    139,                0.76782,                0.62552,                0.92124,                0.96346,                0.97014,                0.98062,                0.71346,                0.98443,                0.58858,                 1.0127,               0.003169,               0.003169,               0.003169
                    140,                0.74772,                0.58596,                0.91756,                0.97633,                0.96502,                0.98255,                0.72018,                0.98204,                0.59294,                 1.0138,              0.0031195,              0.0031195,              0.0031195
                    141,                0.77997,                 0.6071,                 0.9186,                0.97138,                0.98201,                0.98396,                0.71608,                 1.0149,                0.60018,                 1.0288,                0.00307,                0.00307,                0.00307
                    142,                0.73282,                0.58247,                0.91034,                0.96047,                0.98332,                0.98349,                0.72407,                0.97563,                0.59973,                 1.0115,              0.0030205,              0.0030205,              0.0030205
                    143,                0.74645,                0.56833,                 0.8901,                0.97565,                0.98528,                0.98231,                 0.7132,                 1.0014,                0.59086,                 1.0277,               0.002971,               0.002971,               0.002971
                    144,                0.74512,                 0.5657,                0.88528,                0.97146,                0.99026,                0.98297,                0.71987,                0.97941,                0.58072,                 1.0183,              0.0029215,              0.0029215,              0.0029215
                    145,                0.73447,                0.57632,                0.90258,                0.97287,                0.99144,                0.98229,                0.72009,                  1.005,                0.58077,                 1.0287,               0.002872,               0.002872,               0.002872
                    146,                0.76424,                 0.5953,                0.92621,                 0.9643,                0.99278,                0.98214,                0.72197,                 1.0072,                0.58617,                 1.0279,              0.0028225,              0.0028225,              0.0028225
                    147,                0.74622,                 0.5755,                0.89901,                0.96696,                0.98294,                0.97971,                0.71917,                0.97376,                0.59125,                 1.0145,               0.002773,               0.002773,               0.002773
                    148,                0.73463,                0.60584,                0.91304,                0.96751,                0.98588,                 0.9807,                0.72276,                 0.9734,                 0.5851,                  1.015,              0.0027235,              0.0027235,              0.0027235
                    149,                0.72138,                0.58107,                0.91349,                0.96706,                0.98475,                0.98043,                  0.719,                 1.0059,                0.58981,                 1.0258,               0.002674,               0.002674,               0.002674
